date | value
2011-01-03 | 3||||||||||||||||||||||||||||||||||||
2011-01-33 | 2   # strptime
2011-01-0 | 1 ???

2011-31-03 | 32  // error is not exist

2011-01-09 | 1

2012-01-11 | -1
2001-42-42 | 2
2014-01-11 | 1
2008-01-11 | 222
2021-08-16 | 23
2002-12-18 | 20
2012-01-11 | 2147483648


2021-03-09 | 5

//-------------




date | value
2011-01-03 | 3f
2011s-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 100
2012-22-11 | 1
200s1-42-42
2012-01-31 | 12.22f
2030-01-31 | 1
2024 | 2
2012-12-31 | 2
2018-12-31 | 2
2008-12-31  2
2009-01-03 | 10.00f
2000-01-02 | 10
2012-01-11 | 2147483648
